mouse1	mouse2	mouse3
  3.7224	  6.7997	  5.9687
  1.3087	  2.0162	  2.7984
  1.2210	  4.5566	  9.9273
  2.1103	  3.4379	  7.2084
  2.5750	  3.2424	  4.8405
  7.9188	  4.6161	  7.0299
  4.0032	  2.4792	  1.4991
  4.7089	  4.2791	  1.7631
  2.6800	  5.6734	  4.5563
 17.3211	  2.0478	 15.9038
  3.0832	  3.1597	  5.2369
 11.4827	  3.9698	  1.4904
  3.0589	  7.7337	  4.5777
 11.7712	  1.7457	  6.5766
 14.5591	  7.1648	 11.4592
  1.9570	  1.8349	  5.5529
  5.4669	  9.4098	  3.4440
  2.2221	  6.7116	  2.6643
  6.6480	  2.7100	  4.5345
  1.3944	  3.6858	 12.2687
  1.4197	  1.9449	  6.2764
  4.1100	  2.0875	  1.5395
  3.6587	  2.7844	  3.5808
  6.4723	  4.1957	  6.7079
  2.9885	  6.7692	  2.5265
  4.7063	  0.9782	  3.9754
  5.9058	  3.8881	  5.3942
  5.6480	  3.8486	  2.6284
  4.9720	  5.1006	  5.5423
 13.3042	  1.8048	  3.5334
 12.6623	  2.1645	  5.1833
  7.1284	  6.7157	 12.5249
  1.5017	  2.7285	  3.8091
  6.9932	  5.6709	  2.7099
  2.7252	  5.3930	 12.4981
 11.6617	  2.5808	  3.7393
  2.1611	  4.1253	  8.2041
  3.6391	  4.8690	  8.7316
  4.0676	  1.7361	  3.5692
  4.7404	  4.7051	  5.0623
  4.8265	  3.9269	  1.6438
  8.5693	  2.0530	 16.3970
  2.6905	  2.3832	  2.5985
  2.4142	  3.9799	 14.5942
  1.7198	  2.6229	  2.9659
  2.1393	  4.6173	  0.5553
  6.0275	  0.9646	  5.2079
  4.3470	  9.9951	  6.8918
 12.5417	  7.5220	  1.0638
  3.8855	  6.5017	  4.0396
  4.1567	  4.1453	  6.0732
  2.9864	  4.3693	  3.7148
  9.4436	  3.1484	  6.9380
 11.4415	  1.9426	  3.9864
  3.7458	 13.7124	  2.6849
  6.4826	  3.2109	 11.8646
  4.2655	  3.3080	 10.4239
  4.0256	 13.9112	  3.1455
  3.2339	  4.5307	  5.2841
  2.5025	  3.3113	  1.7578
  5.3066	  2.2726	  6.0512
